域,信号,口径,形态,K,tilt,gross,te,tw,n,net13,ir13,net20,ir20,net25,ir25
gz2000,对称,原始,tilt,0.3,2.0,0.12750833806050377,0.03454361299260997,0.15615838271595778,484,0.07838091085806347,2.265682238640274,0.051927680825980226,1.499266301535494,0.033032516517349335,0.9527721115833445
gz2000,对称,原始,topn,0.3,1.0,0.1467162636545254,0.059735755131659976,0.23565842759966005,484,0.07257812233167232,1.21366962112551,0.03265758469628992,0.5456320543797248,0.004142914956731077,0.0691668088120384
gz2000,对称,原始,topn,0.5,1.0,0.11651663602970075,0.0430600943737401,0.17323296472064859,484,0.062017545328584715,1.4398466526795406,0.03267188110490685,0.7581812945817442,0.011710692373708368,0.2716304337196386
gz2000,对称,中性化,exclude,0.1,1.0,0.06952203702488643,0.008147817502112372,0.07738893339359247,483,0.04517547857926225,5.499308699542281,0.03206579326238768,3.867184612088291,0.02270173232176299,2.714279204563219
gz2000,对称,中性化,exclude,0.2,1.0,0.09465077842077661,0.012422972022994442,0.11135549370266236,483,0.05961834010191903,4.782220401037785,0.04075471946868803,3.255461638974951,0.027280704730665878,2.1705963211429355
gz2000,对称,中性化,exclude,0.3,1.0,0.10595249653385092,0.015865709401790856,0.14911534683911265,483,0.05904080841826608,3.7121470239818217,0.0337806686637204,2.117764397768504,0.01573771169618777,0.9839178402588286
gz2000,对称,中性化,exclude,0.4,1.0,0.11903388190021022,0.019315908997851912,0.18949326160532368,483,0.05941930179917537,3.0708205899790815,0.027319143283233538,1.4087874921263925,0.004390458628989366,0.2259344286866648
gz2000,对称,中性化,tilt,0.2,1.5,0.09412184868295262,0.013244602693511506,0.136503346030882,483,0.051177896021637144,3.851815866594306,0.028054229204005736,2.1036240123959757,0.011537324334269013,0.8621004665862685
gz2000,对称,中性化,tilt,0.2,2.0,0.09372317549141429,0.014625369882011161,0.15814492708382386,483,0.0439707814308433,2.998520121842708,0.017181030782843533,1.1679837219884812,-0.001954505394299152,-0.13247909126343385
gz2000,对称,中性化,tilt,0.3,1.5,0.10247529837111585,0.017058971729924592,0.17443408588852613,483,0.047598334950585554,2.78546977224678,0.01804920080106923,1.0538367165361466,-0.0030573235914424317,-0.17811410166000025
gz2000,对称,中性化,tilt,0.3,2.0,0.1000911118567605,0.018427644944562015,0.1941310676811148,483,0.03901747796428178,2.1146074994132578,0.006131675099100942,0.3316828962332672,-0.01735818409031395,-0.9372065369306812
gz2000,对称,中性化,topn,0.3,1.0,0.08795888765725185,0.0319801167051449,0.3109953491564611,483,-0.00988024918737083,-0.30954910678938147,-0.06256286133447535,-1.9606686519263061,-0.10019329858240714,-3.1396087645209163
gz2000,对称,中性化,topn,0.5,1.0,0.08923201972240771,0.024973229630943002,0.22809813600749088,483,0.017472346134451085,0.7021556585792194,-0.021167478105217876,-0.8515257139438229,-0.04876735256212426,-1.9624895075216435
gz2000,下尾,原始,exclude,0.1,1.0,0.06853053616941907,0.015215994956348072,0.07415696310412585,484,0.04520075557686108,2.96412927640866,0.032638566027022156,2.1346898993843557,0.023665573491422932,1.5439472432040475
