feat,gain_down,gain_up,share_down,share_up,下尾偏好,family,agg
passive_buy_poison_asym_5m|mean,166.15279960632324,123.09200096130371,7.324926092419161e-05,0.0001181542689495881,-4.490500802539649e-05,其他,mean
patience_collapse_resubmit_5m|mean,1242.9563941955566,617.7306995391846,0.0005479633051717642,0.0005929509524726551,-4.498764730089086e-05,其他,mean
perishable_opportunity_urgency_5m|lh,1658.7317905426025,809.3265981674194,0.0007312598885880145,0.0007768611428941685,-4.5601254306153974e-05,其他,lh
vulnerable_fraction_5m|std,347.52869987487793,207.52240180969238,0.00015320969900052908,0.0001991978153332246,-4.598811633269552e-05,其他,std
signed_vol_flow_coupling_5m|std,1817.2738990783691,882.60009765625,0.0008011539397452838,0.0008471953376254937,-4.604139788020982e-05,其他,std
near_seal_chase_skew_5m|std,0.0,48.80659866333008,0.0,4.684876303858756e-05,-4.684876303858756e-05,涨跌停/封板,std
downlimit_buy_support_5m|mean,8320.919080734253,3872.7320890426636,0.003668317201503189,0.003717380700979066,-4.906349947587712e-05,涨跌停/封板,mean
positional_queue_jump_chain_5m|lh,615.7162895202637,336.3718032836914,0.00027144148791476944,0.00032287853151995974,-5.14370436051903e-05,队列/排队,lh
probe_sweep_retreat_5m|lh,522.4363899230957,293.7980031967163,0.0002303185954882531,0.00028201254358899895,-5.169394810074584e-05,侵略性/主动,lh
pov_book_reactivity_5m|std,147.66150093078613,122.47120094299316,6.509728295739947e-05,0.00011755837180148314,-5.246108884408367e-05,其他,std
bilateral_liquidity_flight_5m|lh,1428.8902969360352,711.232102394104,0.000629933160562466,0.0006827016252524157,-5.2768464689949626e-05,流动性/枯竭,lh
pressure_point_execution_choke_5m|std,40.73330116271973,74.63409996032715,1.7957471750347717e-05,7.164021586012845e-05,-5.368274410978073e-05,其他,std
schelling_anchor_convergence_5m|mean,1088.0799980163574,556.7227964401245,0.0004796853009394666,0.0005343903300559082,-5.4705029116441624e-05,情绪/行为偏差,mean
audience_contingent_display_5m|mean,398.01269912719727,239.97540187835693,0.0001754658129058713,0.00023034899061990654,-5.488317771403523e-05,其他,mean
fire_sale_contagion_5m|lh,450.04550552368164,264.19849967956543,0.0001984047258906934,0.000253600399241462,-5.519567335076858e-05,其他,lh
outhead_target_sell_5m|std,66.16379928588867,87.97830009460449,2.9168629172128987e-05,8.444912463786611e-05,-5.528049546573712e-05,其他,std
decisive_point_conc_5m|lh,650.5701942443848,356.5750951766968,0.00028680699946445805,0.0003422713853638389,-5.546438589938083e-05,其他,lh
public_commitment_wall_stickiness_5m|mean,1101.0202980041504,563.4883012771606,0.00048539009443370205,0.0005408844423609491,-5.549434792724708e-05,其他,mean
scarcity_panic_buy_elasticity_5m|lh,86.66069984436035,98.20719814300537,3.820478637623284e-05,9.426769905074463e-05,-5.606291267451179e-05,其他,lh
board_break_reseal_aggression_5m|std,51.84530067443848,82.9153003692627,2.285625018532992e-05,7.958922288496678e-05,-5.673297269963686e-05,涨跌停/封板,std
